Temp(0to1),time(0to1),B/A(0to1),T,t,B/A,mz189,mz278,mz375,mz410,mz430,mz494,mz524,Yield 494/430
0.5,0.1,0.1,85,18.6,14.634,0,10950790,1882665.3,361573640,181289000,1562665000,173825940,0.896047143
0.5,0.2,0.1,85,23.2,14.634,0,10858710,1979249.3,386343780,115727000,1597672000,187611380,0.932457647
0.5,0.3,0.1,85,27.8,14.634,0,10792010,2056719.3,407429920,61713000,1625035000,198532820,0.963413029
0.5,0.4,0.1,85,32.4,14.634,0,10750690,2115075.3,424832060,19247000,1644754000,206590260,0.9884333
0.5,0.5,0.1,85,37,14.634,0,10734750,2154317.3,438550200,-11671000,1656829000,211783700,1.007094151
0.5,0.6,0.1,85,41.6,14.634,0,10744190,2174445.3,448584340,-31041000,1661260000,214113140,1.019041
0.5,0.7,0.1,85,46.2,14.634,0,10779010,2175459.3,454934480,-38863000,1658047000,213578580,1.024001596
0.5,0.8,0.1,85,50.8,14.634,0,10839210,2157359.3,457600620,-35137000,1647190000,210180020,1.02179643
0.5,0.9,0.1,85,55.4,14.634,0,10924790,2120145.3,456582760,-19863000,1628689000,203917460,1.01234627
0.5,1,0.1,85,60,14.634,0,11035750,2063817.3,451880900,6959000,1602544000,194790900,0.995676305
0.6,0,0.1,98,14,14.634,0,12566000,2367687.3,364123000,192487000,1581767000,200755800,0.891511024
0.6,0.1,0.1,98,18.6,14.634,0,12415330,2481662.1,393426000,114967400,1620171000,217389890,0.933741654
0.6,0.2,0.1,98,23.2,14.634,0,12290040,2576522.9,419045000,48995800,1650931000,231159980,0.9711777
0.6,0.3,0.1,98,27.8,14.634,0,12190130,2652269.7,440980000,-5427800,1674047000,242066070,1.003252869
0.6,0.4,0.1,98,32.4,14.634,0,12115600,2708902.5,459231000,-48303400,1689519000,250108160,1.029431477
0.6,0.5,0.1,98,37,14.634,0,12066450,2746421.3,473798000,-79631000,1697347000,255286250,1.049224339
0.6,0.6,0.1,98,41.6,14.634,0,12042680,2764826.1,484681000,-99410600,1697531000,257600340,1.0622047
0.6,0.7,0.1,98,46.2,14.634,0,12044290,2764116.9,491880000,-107642200,1690071000,257050430,1.068023408
0.6,0.8,0.1,98,50.8,14.634,0,12071280,2744293.7,495395000,-104325800,1674967000,253636520,1.066422427
0.6,0.9,0.1,98,55.4,14.634,0,12123650,2705356.5,495226000,-89461400,1652219000,247358610,1.057245858
0.6,1,0.1,98,60,14.634,0,12201400,2647305.3,491373000,-63049000,1621827000,238216700,1.04044771
0.7,0,0.1,111,14,14.634,0,14127750,2996007.3,380566500,186055000,1598920000,247255100,0.895766047
0.7,0.1,0.1,111,18.6,14.634,0,13943870,3108258.9,410718360,108125800,1633077000,263873840,0.937901662
0.7,0.2,0.1,111,23.2,14.634,0,13785370,3201396.5,437186220,41744600,1659590000,277628580,0.975463615
0.7,0.3,0.1,111,27.8,14.634,0,13652250,3275420.1,459970080,-13088600,1678459000,288519320,1.007859273
0.7,0.4,0.1,111,32.4,14.634,0,13544510,3330329.7,479069940,-56373800,1689684000,296546060,1.03451506
0.7,0.5,0.1,111,37,14.634,0,13462150,3366125.3,494485800,-88111000,1693265000,301708800,1.054892552
0.7,0.6,0.1,111,41.6,14.634,0,13405170,3382806.9,506217660,-108300200,1689202000,304007540,1.06850533
0.7,0.7,0.1,111,46.2,14.634,0,13373570,3380374.5,514265520,-116941400,1677495000,303442280,1.074935843
0.7,0.8,0.1,111,50.8,14.634,0,13367350,3358828.1,518629380,-114034600,1658144000,300013020,1.073851373
0.7,0.9,0.1,111,55.4,14.634,0,13386510,3318167.7,519309240,-99579800,1631149000,293719760,1.065018153
0.7,1,0.1,111,60,14.634,0,13431050,3258393.3,516305100,-73577000,1596510000,284562500,1.048312697
0.8,0,0.1,124,14,14.634,0,15753500,3651927.3,382450000,239103000,1571473000,296674400,0.86794092
0.8,0.1,0.1,124,18.6,14.634,0,15536410,3762455.7,413450720,160764200,1601383000,313277790,0.908768008
0.8,0.2,0.1,124,23.2,14.634,0,15344700,3853870.1,440767440,93973400,1623649000,327017180,0.945288673
0.8,0.3,0.1,124,27.8,14.634,0,15178370,3926170.5,464400160,38730600,1638271000,337892570,0.976904852
0.8,0.4,0.1,124,32.4,14.634,0,15037420,3979356.9,484348880,-4964200,1645249000,345903960,1.003026426
0.8,0.5,0.1,124,37,14.634,0,14921850,4013429.3,500613600,-37111000,1644583000,351051350,1.023086561
0.8,0.6,0.1,124,41.6,14.634,0,14831660,4028387.7,513194320,-57709800,1636273000,353334740,1.036558435
0.8,0.7,0.1,124,46.2,14.634,0,14766850,4024232.1,522091040,-66760600,1620319000,352754130,1.042972701
0.8,0.8,0.1,124,50.8,14.634,0,14727420,4000962.5,527303760,-64263400,1596721000,349309520,1.041934863
0.8,0.9,0.1,124,55.4,14.634,0,14713370,3958578.9,528832480,-50218200,1565479000,343000910,1.033141622
0.8,1,0.1,124,60,14.634,0,14724700,3897081.3,526677200,-24625000,1526593000,333828300,1.016395156
0.9,0,0.1,137,14,14.634,0,17443250,4335447.3,369773500,351631000,1499426000,349013700,0.810037724
0.9,0.1,0.1,137,18.6,14.634,0,17192950,4444252.5,401623080,272882600,1525089000,365601740,0.848227525
0.9,0.2,0.1,137,23.2,14.634,0,16968030,4533943.7,429788660,205682200,1543108000,379325780,0.882386006
0.9,0.3,0.1,137,27.8,14.634,0,16768490,4604520.9,454270240,150029800,1553483000,390185820,0.911929162
0.9,0.4,0.1,137,32.4,14.634,0,16594330,4655984.1,475067820,105925400,1556214000,398181860,0.936271651
0.9,0.5,0.1,137,37,14.634,0,16445550,4688333.3,492181400,73369000,1551301000,403313900,0.954840675
0.9,0.6,0.1,137,41.6,14.634,0,16322150,4701568.5,505610980,52360600,1538744000,405581940,0.967091667
0.9,0.7,0.1,137,46.2,14.634,0,16224130,4695689.7,515356560,42900200,1518543000,404985980,0.972525289
0.9,0.8,0.1,137,50.8,14.634,0,16151490,4670696.9,521418140,44987800,1490698000,401526020,0.970705075
0.9,0.9,0.1,137,55.4,14.634,0,16104230,4626590.1,523795720,58623400,1455209000,395202060,0.961274841
0.9,1,0.1,137,60,14.634,0,16082350,4563369.3,522489300,83807000,1412076000,386014100,0.943974896
1,0,0.1,150,14,14.634,0,19197000,5046567.3,342537000,523639000,1382779000,404273000,0.725328338
1,0.1,0.1,150,18.6,14.634,0,18913490,5153649.3,375235440,444481000,1404195000,420845690,0.759567929
1,0.2,0.1,150,23.2,14.634,0,18655360,5241617.3,404249880,376871000,1417967000,434554380,0.790025061
1,0.3,0.1,150,27.8,14.634,0,18422610,5310471.3,429580320,320809000,1424095000,445399070,0.816145186
1,0.4,0.1,150,32.4,14.634,0,18215240,5360211.3,451226760,276295000,1422579000,453379760,0.837365808
1,0.5,0.1,150,37,14.634,0,18033250,5390837.3,469189200,243329000,1413419000,458496450,0.853128539
1,0.6,0.1,150,41.6,14.634,0,17876640,5402349.3,483467640,221911000,1396615000,460749140,0.862893151
1,0.7,0.1,150,46.2,14.634,0,17745410,5394747.3,494062080,212041000,1372167000,460137830,0.866153308
1,0.8,0.1,150,50.8,14.634,0,17639560,5368031.3,500972520,213719000,1340075000,456662520,0.862453453
1,0.9,0.1,150,55.4,14.634,0,17559090,5322201.3,504198960,226945000,1300339000,450323210,0.851406156
1,1,0.1,150,60,14.634,0,17504000,5257257.3,503741400,251719000,1252959000,441119900,0.832709058
0,0,0.2,20,14,17.073,0,4816800,-810384.8,-28292000,1436716000,554656000,-6970000,0.278529577
0,0.1,0.2,20,18.6,17.073,0,4877760,-681899.8,-4160320,1359588000,622030000,9774380,0.313900055
0,0.2,0.2,20,23.2,17.073,0,4964100,-572528.8,16287360,1294008000,681760000,23654760,0.345060756
0,0.3,0.2,20,27.8,17.073,0,5075820,-482271.8,33051040,1239976000,733846000,34671140,0.371789351
0,0.4,0.2,20,32.4,17.073,0,5212920,-411128.8,46130720,1197492000,778288000,42823520,0.393914302
0,0.5,0.2,20,37,17.073,0,5375400,-359099.8,55526400,1166556000,815086000,48111900,0.411318492
0,0.6,0.2,20,41.6,17.073,0,5563260,-326184.8,61238080,1147168000,844240000,50536280,0.423941252
0,0.7,0.2,20,46.2,17.073,0,5776500,-312383.8,63265760,1139328000,865750000,50096660,0.431778714
0,0.8,0.2,20,50.8,17.073,0,6015120,-317696.8,61609440,1143036000,879616000,46793040,0.434882521
0,0.9,0.2,20,55.4,17.073,0,6279120,-342123.8,56269120,1158292000,885838000,40625420,0.433356978
0,1,0.2,20,60,17.073,0,6568500,-385664.8,47244800,1185096000,884416000,31593800,0.427354855
0.1,0,0.2,33,14,17.073,0,5983300,-359744.8,75795000,1067452000,836962000,22408600,0.439485322
0.1,0.1,0.2,33,18.6,17.073,0,6009630,-233118.2,100718000,990417700,899823000,39149590,0.4760362
