,System Pressure,,"Pump Pressure, ",,Reactor Temperature
Time(hr),PT1 (PSIA),PT2(PSIA),MX03 (PSI),MX04 (PSI,R10 (degC)
1.48167,13.60246,60.51017,100,54,120.57173
1.48194,13.61848,60.52869,100,54,120.71578
1.48222,13.62264,60.54254,100,54,120.79121
1.4825,13.60601,60.54346,100,54,120.89203
1.48278,13.55508,60.53208,100,54,120.83389
1.48305,13.50818,60.51362,100,54,120.89412
1.48333,13.49,60.50263,91,48,120.72148
1.48361,13.51441,60.49538,91,48,120.76437
1.48389,13.55371,60.49733,91,48,120.85085
1.48417,13.60478,60.51583,91,48,120.81358
1.48444,13.63676,60.53024,91,48,120.88731
1.48472,13.6428,60.55298,91,48,120.80354
1.485,13.59436,60.5734,91,48,120.74562
1.48528,13.53939,60.58485,91,48,120.86035
1.48555,13.48478,60.58869,88,50,120.83411
1.48583,13.43446,60.58178,88,50,120.82725
1.48611,13.42034,60.5711,88,50,120.82416
1.48639,13.43486,60.55963,88,50,120.76302
1.48667,13.464,60.55576,88,50,120.67397
1.48694,13.51389,60.55201,88,50,120.63042
1.48722,13.57109,60.55965,88,50,120.61116
1.4875,13.61515,60.56348,88,50,120.53404
1.48778,13.62619,60.57502,96,61,120.55527
1.48805,13.61565,60.58178,96,61,120.54916
1.48833,13.57257,60.58945,96,61,120.54558
1.48861,13.51013,60.59136,96,61,120.53617
1.48889,13.44692,60.58181,96,61,120.52387
1.48917,13.50317,60.57808,96,61,120.51266
1.48944,13.71492,60.54554,96,61,120.49104
1.48972,13.78583,60.53831,96,61,120.47693
1.49,13.81784,60.55262,96,48,120.45812
1.49028,13.71904,60.53326,96,48,120.251
1.49055,13.52445,60.56434,96,48,120.2477
1.49083,13.47922,60.5842,96,48,120.24164
1.49111,13.42126,60.58213,96,48,120.23792
1.49139,13.44443,60.61937,96,48,120.23103
1.49167,13.19421,60.67158,96,48,120.21742
1.49194,12.84476,60.69004,96,48,120.20409
1.49222,12.50249,60.678,88,57,120.18919
1.4925,12.27941,60.6863,88,57,120.16669
1.49278,12.45624,60.66636,88,57,120.0168
1.49305,12.73067,60.67254,88,57,120.01853
1.49333,13.25543,60.69556,88,57,120.28672
1.49361,13.57085,60.69486,88,57,120.2925
1.49389,13.5858,60.68129,88,57,120.28975
1.49417,13.60307,60.65518,88,57,120.41642
1.49444,13.43147,60.62884,91,54,120.41325
1.49472,13.38165,60.62852,91,54,120.6582
1.495,13.39746,60.61048,91,54,120.85828
1.49528,13.45032,60.60551,91,54,120.968
1.49555,13.49366,60.59177,91,54,121.22408
1.49583,13.56053,60.59404,91,54,121.26086
1.49611,13.59402,60.60773,91,54,121.38518
1.49639,13.58734,60.61498,91,54,121.39744
1.49667,13.60674,60.64164,88,55,121.45577
1.49694,13.57306,60.64557,88,55,121.49729
1.49722,13.5022,60.65518,88,55,121.40381
1.4975,13.47356,60.6662,88,55,121.50682
1.49778,13.41277,60.66432,88,55,121.50537
1.49805,13.41846,60.65853,88,55,121.55508
1.49833,13.45263,60.65094,88,55,121.65001
1.49861,13.48706,60.63614,88,55,121.66176
1.49889,13.55097,60.62857,97,53,121.65182
1.49917,13.57231,60.62857,97,53,121.64756
1.49944,13.59211,60.62859,97,53,121.5874
1.49972,13.5997,60.64642,97,53,121.54082
1.5,13.56478,60.66463,97,53,121.45174
1.50028,13.52084,60.68324,97,53,121.4438
1.50055,13.46843,60.70183,97,53,121.39681
1.50083,13.40883,60.69722,97,53,121.34152
1.50111,13.38044,60.69684,94,52,121.32716
1.50139,13.38989,60.69684,94,52,121.27821
1.50167,13.44719,60.6871,94,52,121.22876
1.50194,13.51836,60.69278,94,52,121.2691
1.50222,13.57501,60.69583,94,52,121.26438
1.5025,13.60976,60.69824,94,52,121.204
1.50278,13.59066,60.71992,94,52,121.16571
