Time (hr),MX03 (uL/min),MX04 (uL/min)
4.0112,56.23425,63.23934
4.01121,56.15743,63.65586
4.01123,56.02905,64.14579
4.01125,55.9355,64.41585
4.01127,55.83445,64.72415
4.01129,55.80236,64.99933
4.0113,55.73441,65.29636
4.01133,55.65075,65.70913
4.01135,55.58178,65.97167
4.01137,55.5135,66.28475
4.01138,55.51554,66.60329
4.0114,55.46262,66.8969
4.01142,55.41825,67.33357
4.01144,55.37694,67.63163
4.01145,55.35543,67.98568
4.01148,55.39537,68.36875
4.0115,55.36908,68.70982
4.01152,55.3585,69.19839
4.01153,55.34724,69.58179
4.01155,55.36089,69.95086
4.01157,55.43123,70.3749
4.01159,55.37114,70.71495
4.01161,55.36157,71.21137
4.01163,55.34246,71.63438
4.01165,54.9867,72.02495
4.01167,54.72074,72.49713
4.01168,54.53364,72.88907
4.0117,54.5555,73.43054
4.01172,54.5975,73.5654
4.01174,54.6965,73.26802
4.01176,54.7863,73.91193
4.01178,54.84127,68.55959
4.0118,54.9174,68.10073
4.01182,54.98022,68.71664
4.01184,55.10961,68.93618
4.01185,55.21784,69.23662
4.01187,55.30387,69.38958
4.0119,55.40493,69.5538
4.01192,55.48824,69.89351
4.01193,55.64562,70.01677
4.01195,55.746,70.22743
4.01197,55.86105,70.34282
4.01199,55.97338,70.41656
4.012,56.10891,70.71086
4.01202,56.29737,70.77949
4.01205,56.42438,70.93313
4.01207,56.5746,71.02667
4.01208,56.71083,71.03213
4.0121,56.8788,71.28409
4.01212,57.08979,71.33223
4.01214,57.23284,71.42885
4.01216,57.40833,71.50874
4.01218,57.56059,71.45582
4.0122,57.77603,71.65555
4.01222,58.00239,71.66443
4.01224,58.18607,71.69856
4.01225,58.40081,71.76002
4.01227,58.5804,71.65316
4.01229,58.831,71.78495
4.01231,59.07067,71.78427
4.01233,59.27996,71.76685
4.01235,59.50734,71.81772
4.01237,59.7197,71.66204
4.01239,60.00853,71.72008
4.0124,60.2704,71.69038
4.01242,60.51758,71.61834
4.01244,60.78389,71.64087
4.01246,61.03347,71.4473
4.01248,61.35918,71.41793
4.0125,61.62855,71.38788
4.01252,61.90373,71.26804
4.01254,62.17379,71.26291
4.01256,62.47049,71.04167
4.01257,62.82214,70.93856
4.01259,63.13453,70.85424
4.01261,63.44761,70.6627
4.01264,63.7542,70.59715
4.01265,64.09015,70.17448
4.01267,64.46673,69.85184
4.01269,64.80063,69.7122
4.01271,65.14068,69.48891
4.01272,65.42884,69.394
4.01274,65.19053,69.12087
4.01277,65.30968,68.85081
4.01279,64.43054,68.74634
4.0128,62.1557,68.48754
4.01282,61.57291,68.32503
4.01284,61.57052,68.01878
4.01286,61.70265,67.65757
