Time(hr),MX05,,Time(hr),MX06
0.21144,63.8005,,0.21174,137.8034
0.21145,63.75144,,0.21176,137.62381
0.21147,63.7144,,0.21179,137.37867
0.21149,63.70124,,0.2118,137.06697
0.21152,63.71749,,0.21182,136.68015
0.21153,63.75386,,0.21184,136.22232
0.21155,63.81569,,0.21186,135.6921
0.21157,63.90601,,0.21188,135.08199
0.21159,64.0201,,0.2119,134.41009
0.21161,64.16524,,0.21192,133.68732
0.21162,64.32658,,0.21194,132.98707
0.21164,64.50532,,0.21196,132.16802
0.21167,64.70727,,0.21197,131.72384
0.21169,64.92146,,0.212,132.16802
0.2117,65.15365,,0.21202,132.23119
0.21172,65.40393,,0.21204,132.09974
0.21174,65.66575,,0.21205,131.83788
0.21176,65.94984,,0.21207,131.51251
0.21177,66.24926,,0.2121,131.17451
0.21179,66.56271,,0.21212,130.85255
0.21182,66.89652,,0.21213,130.52582
0.21184,67.24698,,0.21215,130.22435
0.21185,67.61504,,0.21217,129.96282
0.21187,67.95615,,0.21219,129.71223
0.21189,68.3421,,0.2122,129.50226
0.21191,68.60884,,0.21223,129.33804
0.21193,68.55013,,0.21225,129.19396
0.21194,68.5415,,0.21227,129.10485
0.21197,68.5652,,0.21228,129.05568
0.21199,68.59886,,0.2123,129.02803
0.212,68.63513,,0.21233,129.04373
0.21202,68.66627,,0.21235,129.08914
0.21204,68.6743,,0.21236,129.17995
0.21206,68.66495,,0.21238,129.32778
0.21208,68.63628,,0.2124,129.52205
0.21209,68.58075,,0.21242,129.75762
0.21212,68.50341,,0.21244,130.03655
0.21214,68.40164,,0.21246,130.35236
0.21216,68.27,,0.21248,130.72655
0.21217,68.11019,,0.2125,131.13488
0.21219,67.9191,,0.21252,131.58213
0.21221,67.69702,,0.21254,132.07342
0.21223,67.44183,,0.21256,132.58486
0.21225,67.14667,,0.21258,133.13454
0.21227,66.81759,,0.2126,133.72451
0.21229,66.45896,,0.21261,134.33838
0.21231,66.10355,,0.21263,134.99867
0.21232,65.68071,,0.21266,135.68969
0.21234,65.46791,,0.21268,136.40837
0.21236,65.45886,,0.21269,137.15709
0.21238,65.38702,,0.21271,137.85562
0.2124,65.27294,,0.21273,138.65249
0.21242,65.13484,,0.21276,138.93756
0.21244,64.98427,,0.21277,138.31517
0.21246,64.8263,,0.21279,138.09154
0.21248,64.66616,,0.21281,138.01609
0.21249,64.50771,,0.21283,138.00619
0.21251,64.3567,,0.21284,138.01882
0.21253,64.2204,,0.21287,138.01609
