,System Pressure,,Pump Pressure,,Reactor Temperature
Time(hr),R1,R2,MX5,MX6,R7 ©
1.13639,8.97621,98.17075,126,144,75.60668
1.13667,8.37115,99.97414,126,144,75.60268
1.13694,8.83804,100.86636,126,144,75.70287
1.13722,10.54136,101.08884,126,144,75.64188
1.1375,12.7477,100.96301,126,144,75.63783
1.13778,14.65718,100.1631,128,143,75.61061
1.13806,15.77999,99.20122,128,143,75.60487
1.13833,15.9463,97.6946,128,143,75.67847
1.13861,14.6365,96.22189,128,143,75.66794
1.13889,12.58786,95.22384,128,143,75.66225
1.13917,10.40561,95.08822,128,143,75.6954
1.13944,8.80725,96.08374,128,143,75.6895
1.13972,8.04598,97.6732,128,143,75.67249
1.14,8.75044,99.70286,129,142,75.6432
1.14028,10.4286,101.71388,129,142,75.63844
1.14056,12.55194,103.11153,129,142,75.67001
1.14083,14.6718,103.36128,129,142,75.72354
1.14111,16.14025,102.8829,129,142,75.76824
1.14139,16.2516,101.35539,129,142,75.64709
1.14167,15.22571,99.46182,129,142,75.92587
1.14194,13.29432,97.57222,129,142,75.64555
1.14222,10.99686,96.19383,130,142,75.7464
1.1425,8.8605,95.34277,130,142,75.67757
1.14278,7.92541,95.71463,130,142,75.60191
1.14306,7.97724,96.75607,130,142,75.65984
1.14333,9.18598,98.41461,130,142,75.64798
1.14361,11.36061,100.42725,130,142,75.64247
1.14389,13.67646,102.22678,130,142,75.62284
1.14417,15.41841,103.23535,130,142,75.61711
1.14444,16.3589,103.60934,128,145,75.63457
1.14472,16.07531,103.00771,128,145,75.62897
1.145,14.69783,101.60866,128,145,75.66886
1.14528,12.67873,99.90217,128,145,75.64925
1.14556,10.60074,98.16702,128,145,75.64352
1.14583,8.96159,96.71206,128,145,75.57474
1.14611,8.07987,95.78934,128,145,75.57037
1.14639,8.52823,95.93616,128,145,75.57072
1.14667,9.7792,96.58086,131,144,75.566
1.14694,11.7259,98.05733,131,144,75.54691
1.14722,13.82629,99.82488,131,144,75.56042
1.1475,15.46132,101.56633,131,144,75.53603
1.14778,15.86054,102.67034,131,144,75.53352
1.14806,15.51466,103.4129,131,144,75.51592
1.14833,13.69021,102.67056,131,144,75.49776
1.14861,11.5475,101.17569,131,144,75.48692
1.14889,9.60402,99.50718,123,145,75.48692
1.14917,8.36358,97.64054,123,145,75.42139
1.14944,8.36713,96.40601,123,145,75.42179
1.14972,9.63401,96.2213,123,145,75.39964
1.15,11.90711,96.61993,123,145,75.41215
1.15028,14.01689,97.76025,123,145,75.39156
