,System Pressure,,Pump Pressure,,Reactor Temperature
Time(hr),R1,R2,MX5,MX6,R7 ©
3.71861,16.27744,101.6861,134,141,154.92758
3.71889,16.704,102.85805,134,141,154.93486
3.71917,15.82142,102.96121,134,141,154.93486
3.71944,14.11294,102.31321,134,141,154.92422
3.71972,12.02813,101.05229,134,141,154.93283
3.72,10.29722,99.31241,134,141,154.91594
3.72028,9.08613,97.56623,125,141,154.90039
3.72056,9.24777,96.51602,125,141,154.86897
3.72083,10.34496,96.02586,125,141,154.76587
3.72111,12.09065,96.17011,125,141,154.7677
3.72139,14.27881,97.4227,125,141,154.76913
3.72167,15.89666,98.81621,125,141,154.77367
3.72194,16.50722,100.43465,125,141,154.8294
3.72222,16.205,101.87389,125,141,154.8391
3.7225,15.31585,103.02984,125,142,154.8187
3.72278,13.4251,102.94873,125,142,154.8151
3.72306,11.57802,102.42595,125,142,154.79433
3.72333,9.92179,100.98727,125,142,154.77863
3.72361,8.99918,99.25129,125,142,154.75902
3.72389,8.91817,97.52048,125,142,154.72127
3.72417,10.07978,96.65522,125,142,154.7219
3.72444,11.7689,95.94958,125,142,154.7205
3.72472,13.79535,96.01011,127,142,154.72084
3.725,15.67418,97.06965,127,142,154.84602
3.72528,17.09717,98.11884,127,142,154.86215
3.72556,17.13483,99.69778,127,142,154.8615
3.72583,16.28344,101.3663,127,142,154.9614
3.72611,14.39523,102.73445,127,142,154.97812
3.72639,12.5002,103.60313,127,142,154.96214
3.72667,10.85683,103.44145,127,142,154.94594
3.72694,10.2509,102.12379,127,141,154.93161
3.72722,9.86329,100.3329,127,141,154.90729
3.7275,10.20149,98.44718,127,141,154.81717
3.72778,11.25682,97.01807,127,141,154.82814
3.72806,12.70058,95.84031,127,141,155.122
3.72833,14.65626,95.66363,127,141,155.11777
3.72861,16.30139,95.60394,127,141,155.11441
3.72889,16.86764,96.66041,127,141,155.09569
3.72917,16.55819,98.02276,119,142,155.0906
3.72944,15.30953,99.90758,119,142,155.05061
3.72972,13.7527,101.30151,119,142,155.04858
3.73,11.86925,102.70261,119,142,155.12703
3.73028,10.17069,103.46225,119,142,155.1223
3.73056,9.21978,103.22187,119,142,155.15536
3.73083,8.68547,102.63394,119,142,155.21165
3.73111,10.02301,100.81473,119,142,155.20648
3.73139,11.8854,98.77729,125,139,155.1722
3.73167,13.81843,97.12348,125,139,155.19176
3.73194,15.76222,95.77111,125,139,155.16832
3.73222,16.97854,95.01804,125,139,155.16524
3.7325,16.70895,95.71162,125,139,155.27933
3.73278,16.36313,96.35548,125,139,155.27083
3.73306,14.80621,97.80524,125,139,155.26758
3.73333,12.78521,99.48763,125,139,155.33415
3.73361,10.88063,101.04929,125,139,155.32973
3.73389,9.67253,102.03284,125,139,155.30052
3.73417,9.07422,102.74342,125,139,155.29129
3.73444,9.44892,102.74281,125,139,155.28293
3.73472,11.02516,101.66361,125,139,155.29759
3.735,13.05444,100.22356,125,139,155.34274
3.73528,14.90599,98.55819,125,139,155.33969
3.73556,16.45369,96.81264,125,139,155.31786
3.73583,16.94045,95.95868,124,139,155.26978
