Time(hr),MX05,,Time(hr),MX06
1.00485,64.54356,,1.00495,129.56408
1.00487,64.40231,,1.00497,129.3285
1.00489,64.27498,,1.00499,129.11103
1.0049,64.16093,,1.00501,128.92666
1.00492,64.06669,,1.00503,128.7819
1.00494,63.98804,,1.00504,128.67743
1.00496,63.92915,,1.00507,128.63475
1.00498,63.89409,,1.00509,128.62281
1.005,63.87935,,1.00511,128.65832
1.00502,63.88785,,1.00512,128.7604
1.00504,63.9188,,1.00514,128.88945
1.00506,63.96843,,1.00517,129.06868
1.00507,64.04822,,1.00519,129.29811
1.00509,64.14994,,1.0052,129.5545
1.00511,64.2725,,1.00522,129.86383
1.00513,64.41592,,1.00524,130.20627
1.00515,64.57606,,1.00526,130.5825
1.00517,64.76011,,1.00528,131.00313
1.00519,64.9622,,1.0053,131.44765
1.00521,65.17895,,1.00532,131.92734
1.00522,65.41739,,1.00534,132.45004
1.00524,65.67412,,1.00535,133.00245
1.00526,65.94508,,1.00538,133.59139
1.00529,66.23892,,1.0054,134.20491
1.0053,66.54555,,1.00542,134.85531
1.00532,66.87577,,1.00543,135.55486
1.00534,67.22245,,1.00545,136.27832
1.00536,67.57451,,1.00547,136.9888
1.00537,67.91253,,1.0055,137.73616
1.00539,68.3026,,1.00551,138.56067
1.00541,68.39406,,1.00553,138.35752
1.00543,68.32311,,1.00555,138.13492
1.00545,68.30841,,1.00557,138.06185
1.00547,68.31793,,1.00559,138.05468
1.00549,68.3418,,1.00561,138.07072
1.00551,68.36556,,1.00563,138.08814
1.00553,68.39068,,1.00565,138.08301
1.00554,68.41085,,1.00567,138.04955
1.00556,68.4118,,1.00568,137.96898
1.00559,68.39677,,1.00571,137.84675
1.00561,68.35637,,1.00573,137.6822
1.00562,68.29252,,1.00575,137.45208
1.00564,68.20279,,1.00576,137.14208
1.00566,68.07859,,1.00578,136.76379
1.00568,67.92457,,1.00581,136.30971
1.00569,67.7425,,1.00583,135.77574
1.00571,67.52138,,1.00584,135.1629
1.00573,67.27058,,1.00586,134.4688
1.00576,66.98181,,1.00588,133.73613
1.00577,66.66014,,1.0059,132.95942
1.00579,66.3345,,1.00592,132.05535
1.00581,65.97051,,1.00594,132.15196
1.00583,65.54287,,1.00596,132.40973
1.00585,65.51405,,1.00598,132.36364
1.00586,65.49835,,1.00599,132.17792
1.00589,65.42743,,1.00602,131.88431
1.00591,65.32083,,1.00604,131.56269
1.00593,65.1935,,1.00606,131.20864
1.00594,65.05177,,1.00607,130.85801
1.00596,64.90099,,1.00609,130.52377
1.00598,64.74672,,1.00611,130.19944
1.006,64.59627,,1.00614,129.9007
1.00601,64.44607,,1.00615,129.64293
1.00604,64.30449,,1.00617,129.41146
1.00606,64.17706,,1.00619,129.22334
1.00608,64.06537,,1.00621,129.07039
1.00609,63.97333,,1.00623,128.95601
1.00611,63.8965,,1.00625,128.89831
1.00613,63.84338,,1.00627,128.87782
1.00615,63.81085,,1.00629,128.93894
1.00617,63.80414,,1.00631,129.05434
1.00619,63.81484,,1.00632,129.18339
1.00621,63.85232,,1.00635,129.36434
1.00623,63.90915,,1.00637,129.58011
1.00625,63.99704,,1.00639,129.82354
1.00626,64.1017,,1.0064,130.12433
1.00628,64.22598,,1.00642,130.45413
1.0063,64.37577,,1.00644,130.8314
1.00632,64.54071,,1.00646,131.24689
1.00634,64.72403,,1.00648,131.68185
1.00636,64.92883,,1.0065,132.153
1.00638,65.14724,,1.00652,132.66615
1.0064,65.38732,,1.00654,133.21753
1.00641,65.64603,,1.00655,133.80886
1.00643,65.91911,,1.00658,134.42204
1.00645,66.21412,,1.0066,135.08404
1.00647,66.5245,,1.00662,135.79623
1.00649,66.85428,,1.00663,136.53129
1.00651,67.20389,,1.00665,137.25611
1.00653,67.55142,,1.00668,138.0079
1.00655,67.89531,,1.0067,138.83686
1.00656,68.28885,,1.00671,138.71429
1.00658,68.32303,,1.00673,138.48315
1.0066,68.26381,,1.00675,138.41111
1.00662,68.25546,,1.00677,138.40086
1.00664,68.26902,,1.00679,138.41486
1.00666,68.29528,,1.00681,138.43091
1.00668,68.31938,,1.00683,138.43398
1.0067,68.34178,,1.00685,138.40154
1.00672,68.35593,,1.00686,138.3196
1.00673,68.35266,,1.00689,138.19669
1.00675,68.33239,,1.00691,138.0195
1.00677,68.29062,,1.00693,137.78154
1.0068,68.22286,,1.00695,137.47153
1.00681,68.12994,,1.00696,137.08164
1.00683,68.00603,,1.00698,136.60161
1.00685,67.85267,,1.00701,136.05672
1.00687,67.6695,,1.00703,135.43568
1.00688,67.44765,,1.00704,134.75012
1.0069,67.19469,,1.00706,134.0253
1.00692,66.90929,,1.00708,133.26975
1.00695,66.58421,,1.0071,132.37798
1.00696,66.26785,,1.00712,132.36091
1.00698,65.89495,,1.00714,132.65999
1.007,65.4728,,1.00716,132.63132
1.00702,65.49766,,1.00718,132.45002
1.00704,65.47819,,1.00719,132.17246
1.00705,65.40647,,1.00722,131.85631
1.00708,65.29976,,1.00724,131.51012
1.0071,65.169,,1.00726,131.16563
1.00712,65.02474,,1.00727,130.8389
1.00713,64.87483,,1.00729,130.51387
1.00715,64.72291,,1.00732,130.20797
1.00717,64.57557,,1.00734,129.94303
1.00719,64.425,,1.00735,129.71769
1.0072,64.28473,,1.00737,129.53913
1.00722,64.15833,,1.00739,129.38686
1.00725,64.04605,,1.00741,129.28888
1.00727,63.95097,,1.00743,129.2585
1.00728,63.8765,,1.00745,129.26191
1.0073,63.82086,,1.00747,129.31449
1.00732,63.79039,,1.00749,129.43911
1.00734,63.78125,,1.00751,129.59275
1.00736,63.79287,,1.00753,129.80341
1.00738,63.83171,,1.00755,130.05503
1.0074,63.89146,,1.00757,130.33841
1.00742,63.97367,,1.00759,130.67334
1.00744,64.07968,,1.0076,131.03729
1.00745,64.2051,,1.00762,131.4282
1.00747,64.35626,,1.00765,131.86657
1.00749,64.52552,,1.00767,132.32339
1.00751,64.71815,,1.00768,132.81058
1.00752,64.93417,,1.0077,133.3408
1.00755,65.16428,,1.00772,133.90311
1.00757,65.41865,,1.00774,134.51458
1.00759,65.68569,,1.00776,135.15985
1.0076,65.97022,,1.00778,135.85429
1.00762,66.27587,,1.0078,136.58969
1.00764,66.60154,,1.00782,137.33432
1.00766,66.94042,,1.00783,138.10421
1.00768,67.30349,,1.00786,138.85805
1.0077,67.65314,,1.00788,139.69485
1.00772,68.02223,,1.0079,139.4965
1.00774,68.43887,,1.00791,139.08134
1.00775,68.43902,,1.00793,138.9376
1.00777,68.41093,,1.00795,138.90209
1.00779,68.42589,,1.00798,138.91574
1.00781,68.45637,,1.00799,138.93384
1.00783,68.4967,,1.00801,138.93964
1.00785,68.53536,,1.00803,138.91574
1.00787,68.56612,,1.00805,138.84882
1.00789,68.58562,,1.00807,138.73342
1.00791,68.58724,,1.00809,138.5593
1.00792,68.57448,,1.00811,138.32031
1.00794,68.54114,,1.00813,138.00962
1.00796,68.47627,,1.00815,137.62109
1.00799,68.38507,,1.00816,137.15779
1.008,68.26119,,1.00819,136.63031
1.00802,68.10688,,1.00821,136.02942
1.00804,67.92016,,1.00822,135.35
1.00806,67.69442,,1.00824,134.59343
1.00807,67.43238,,1.00826,133.8273
1.00809,67.1407,,1.00828,132.9328
1.00811,66.80609,,1.00831,132.69176
1.00814,66.48248,,1.00832,132.85154
1.00815,66.09553,,1.00834,132.77574
1.00817,65.68714,,1.00836,132.56441
1.00819,65.71622,,1.00838,132.28069
1.00821,65.67203,,1.0084,131.96045
1.00823,65.58307,,1.00842,131.61426
1.00824,65.46848,,1.00844,131.27421
1.00826,65.32748,,1.00846,130.94646
1.00829,65.17694,,1.00847,130.63576
1.00831,65.02329,,1.00849,130.34658
1.00832,64.8697,,1.00852,130.08301
1.00834,64.72142,,1.00854,129.85665
1.00836,64.57312,,1.00855,129.67673
1.00838,64.4333,,1.00857,129.52617
1.00839,64.30674,,1.00859,129.42614
1.00841,64.19357,,1.00862,129.37971
1.00844,64.09569,,1.00863,129.34796
1.00846,64.02,,1.00865,129.37835
1.00847,63.9629,,1.00867,129.4678
1.00849,63.92975,,1.00869,129.59173
1.00851,63.9168,,1.00871,129.77132
1.00853,63.92447,,1.00873,130.00007
1.00855,63.96107,,1.00875,130.28618
1.00856,64.02239,,1.00877,130.61666
1.00859,64.10526,,1.00879,130.96866
1.00861,64.21249,,1.0088,131.35685
1.00863,64.34025,,1.00883,131.7884
1.00864,64.49371,,1.00885,132.2435
1.00866,64.6647,,1.00886,132.72761
1.00868,64.85502,,1.00888,133.23905
1.0087,65.06635,,1.0089,133.79658
1.00871,65.29396,,1.00892,134.41933
1.00874,65.53738,,1.00895,135.06357
1.00876,65.80192,,1.00896,135.7365
