,System Pressure,,Pump Pressure,,Reactor Temperature
Time(hr),R1,R2,MX5,MX6,R7 ©
2.55056,8.9756,96.11667,128,140,155.1894
2.55083,10.29819,95.13442,128,140,155.18414
2.55111,12.34265,95.31705,128,140,155.1656
2.55139,14.49107,96.67453,129,145,155.07735
2.55167,16.23896,98.60625,129,145,155.08688
2.55194,16.57851,100.54118,129,145,155.15765
2.55222,15.73622,102.15418,129,145,155.12263
2.5525,14.06385,102.96919,129,145,155.2616
2.55278,11.63057,102.32293,129,145,155.22517
2.55306,9.7791,101.02728,129,145,155.22202
2.55333,8.80879,99.11217,129,145,155.21095
2.55361,9.03414,97.02602,121,144,155.19753
2.55389,10.64417,95.56009,121,144,155.16617
2.55417,12.73784,95.30505,121,144,155.16037
2.55444,15.03474,95.53815,121,144,155.13826
2.55472,16.08868,96.96659,121,144,155.11388
2.555,16.13944,98.71266,121,144,155.08383
2.55528,15.0499,100.6144,121,144,155.10426
2.55556,12.82606,102.20867,121,144,155.10114
2.55583,10.60278,103.05389,132,144,155.1313
2.55611,8.82414,102.63728,132,144,155.13387
2.55639,8.26015,101.08649,132,144,155.12947
2.55667,8.8226,99.1469,132,144,155.17926
2.55694,10.91465,97.05484,132,144,155.17618
2.55722,13.2204,95.49021,132,144,155.14786
2.5575,14.89017,95.29265,132,144,155.13907
2.55778,15.95219,95.70837,132,144,155.12503
2.55806,15.97252,97.12148,128,142,155.10529
2.55833,14.83065,98.8534,128,142,155.11687
2.55861,13.1106,100.68255,128,142,155.0919
2.55889,11.2522,101.92713,128,142,155.08324
2.55917,9.62552,102.40688,128,142,155.05399
2.55944,8.69436,102.37291,128,142,155.0155
2.55972,9.28556,101.04942,128,142,155.0002
2.56,10.67919,99.37361,128,142,154.95743
2.56028,12.58678,97.70292,125,142,155.01927
2.56056,14.80429,96.10134,125,142,155.01782
2.56083,16.53882,95.02933,125,142,154.99405
2.56111,16.52345,95.48151,125,142,154.99191
2.56139,15.54917,96.55361,125,142,154.98239
2.56167,13.67716,98.31073,125,142,155.01013
2.56194,11.22191,100.40449,125,142,155.01804
2.56222,9.56781,101.8531,125,142,155.01376
2.5625,9.09746,102.32409,128,145,155.01013
2.56278,9.4172,102.28406,128,145,154.99724
2.56306,10.68755,101.33238,128,145,154.9664
2.56333,12.98471,99.51355,128,145,154.96005
2.56361,15.15624,97.42474,128,145,154.92622
2.56389,16.36658,95.70227,128,145,154.91805
2.56417,16.68383,94.54153,128,145,154.88931
2.56444,15.26526,94.90075,128,145,154.85878
2.56472,12.84386,96.40034,128,141,154.87195
2.565,10.05885,98.62843,128,141,154.9136
2.56528,8.38182,100.77995,128,141,154.95624
2.56556,7.96894,102.43967,128,141,154.95425
2.56583,9.21018,102.50857,128,141,155.04889
2.56611,11.47247,102.06103,128,141,155.04701
2.56639,13.82945,100.68439,128,141,155.18309
2.56667,15.33203,98.74215,128,141,155.14963
2.56694,16.40913,96.81113,127,142,155.1448
2.56722,16.06519,95.25113,127,142,155.11726
2.5675,14.57774,94.6274,127,142,155.10902
2.56778,12.89832,94.90548,127,142,155.08736
2.56806,10.60522,96.65099,127,142,155.03912
2.56833,9.02971,98.61279,127,142,154.9896
2.56861,8.90121,100.4417,127,142,154.97191
2.56889,9.60887,101.89426,127,142,155.09291
2.56917,11.63765,102.47761,126,143,155.08162
2.56944,13.863,101.74738,126,143,155.0792
2.56972,15.72775,100.59608,126,143,155.05496
2.57,16.54882,98.85854,126,143,155.05452
2.57028,15.92056,96.86153,126,143,155.05064
2.57056,14.64913,95.41444,126,143,155.12703
2.57083,12.57204,94.547,126,143,155.17229
2.57111,10.32709,94.49641,126,143,155.16805
2.57139,8.94753,95.72387,122,141,155.14606
2.57167,8.60072,97.51333,122,141,155.14178
2.57194,9.27865,99.55915,122,141,155.1361
2.57222,11.28899,101.24023,122,141,155.09972
2.5725,13.40189,102.16148,122,141,155.07204
2.57278,15.01032,101.77708,122,141,155.115
2.57306,16.11845,100.78854,122,141,155.11063
2.57333,16.14866,99.1889,122,141,155.33795
2.57361,15.10041,97.51881,127,143,155.33351
2.57389,13.18573,95.8018,127,143,155.30357
2.57417,11.27217,95.1294,127,143,155.29123
2.57444,9.57822,95.1721,127,143,155.282
2.57472,8.83475,96.16121,127,143,155.32877
2.575,9.52907,97.91534,127,143,155.45119
2.57528,11.02101,99.83112,127,143,155.44765
2.57556,13.12938,101.34995,127,143,155.42003
2.57583,14.99674,102.21714,125,144,155.4134
2.57611,16.06637,102.37598,125,144,155.39183
2.57639,15.90633,101.27804,125,144,155.35208
2.57667,14.55141,99.64327,125,144,155.34225
2.57694,12.42095,97.79903,125,144,155.285
2.57722,10.42189,96.32256,125,144,155.26321
2.5775,8.80562,95.37435,125,144,155.21689
2.57778,8.75947,95.84714,125,144,155.29973
2.57806,9.88693,97.10418,123,145,155.29572
2.57833,11.71885,98.75547,123,145,155.26997
2.57861,14.06593,100.76288,123,145,155.26671
2.57889,15.97732,102.36485,123,145,155.2498
2.57917,16.47794,102.77348,123,145,155.2498
2.57944,16.07647,102.6232,123,145,155.20528
2.57972,14.35358,101.23875,123,145,155.21748
2.58,11.68739,99.00308,123,145,155.18997
2.58028,9.51587,97.05738,130,140,155.18575
2.58056,8.4871,95.81676,130,140,155.16312
2.58083,8.42217,95.13212,130,140,155.13571
2.58111,9.9663,95.8855,130,140,155.12706
2.58139,12.0881,97.11594,130,140,155.07936
2.58167,14.17004,98.78232,130,140,155.07565
2.58194,15.59397,100.51634,130,140,155.04996
2.58222,16.22586,102.1079,130,140,155.04655
2.5825,15.6026,102.5689,126,139,155.02808
2.58278,13.81049,102.22556,126,139,154.99612
2.58306,11.73861,101.09015,126,139,154.9856
2.58333,9.75783,99.02457,126,139,154.90234
2.58361,8.42962,97.08551,126,139,154.93044
2.58389,8.86523,95.92183,126,139,154.92969
2.58417,10.09907,95.29572,126,139,154.90521
2.58444,12.09442,95.66592,126,139,154.90013
2.58472,14.30058,97.11954,130,140,154.88669
2.585,15.89869,98.86947,130,140,154.8696
2.58528,16.37628,100.75897,130,140,154.87894
2.58556,15.67183,102.22063,130,140,154.8591
2.58583,13.95291,102.86085,130,140,154.85532
2.58611,11.64051,102.11738,130,140,154.82779
2.58639,9.45614,100.65126,130,140,154.80937
2.58667,8.58803,98.68048,130,140,154.79547
2.58694,8.82517,96.68483,126,139,154.7802
2.58722,10.16105,95.33787,126,139,154.77364
2.5875,12.60626,95.08627,126,139,154.88101
2.58778,14.91632,95.62206,126,139,154.88158
2.58806,16.34196,97.04983,126,139,154.87784
2.58833,16.76466,98.97234,126,139,154.85213
2.58861,15.87661,101.02462,126,139,154.8486
2.58889,13.9411,102.26166,126,139,154.83736
2.58917,11.59207,102.88944,129,140,154.92314
2.58944,9.80321,102.26496,129,140,154.93294
2.58972,8.56348,100.83913,129,140,154.92386
2.59,8.52151,99.08903,129,140,154.92213
2.59028,9.91503,97.23287,129,140,154.89542
2.59056,11.76751,95.6559,129,140,154.87955
2.59083,14.09543,95.19804,129,140,154.85385
2.59111,15.98051,95.35245,129,140,154.89316
2.59139,16.46854,96.66347,128,145,154.89731
2.59167,15.81791,98.61494,128,145,154.97858
2.59194,14.05617,100.57457,128,145,154.97778
2.59222,11.78525,102.10388,128,145,155.01382
2.5925,9.92654,102.79581,128,145,155.0515
2.59278,8.63105,102.66057,128,145,155.04796
2.59306,8.82097,101.32008,128,145,155.0241
2.59333,9.87682,99.65918,128,145,155.02249
2.59361,11.84181,97.91719,127,143,155.01178
2.59389,14.37249,96.1488,127,143,155.01501
2.59417,16.22048,95.16609,127,143,155.02304
2.59444,16.70259,95.55148,127,143,155.14659
2.59472,16.21794,96.60873,127,143,155.08601
2.595,14.11921,98.63426,127,143,155.08157
2.59528,11.7521,100.66735,127,143,155.17995
2.59556,9.80778,102.16563,127,143,155.17587
2.59583,8.5187,102.90395,123,145,155.19138
2.59611,8.44737,102.79111,123,145,155.14697
2.59639,9.62094,101.60459,123,145,155.14233
2.59667,11.46602,100.0248,123,145,155.25099
2.59694,13.72448,98.11027,123,145,155.24661
2.59722,15.42423,96.65487,123,145,155.23499
2.5975,16.49808,95.51134,123,145,155.23322
2.59778,16.2962,95.3929,123,145,155.22871
2.59806,15.04744,96.04396,144,145,155.20158
2.59833,13.19416,97.35927,144,145,155.19827
2.59861,10.96842,99.30839,144,145,155.17404
