sample,strain,condition,replicate,temperature,timepoint,ara (M),iptg (M),orig_id
wt_00375R3,MG1655_WT,wt_00375,3,37,5,0.0,0.0,8310085
wt_013018R0,MG1655_WT,wt_013018,0,30,18,0.0,3.8812614e-05,8310238
wt_013018R1,MG1655_WT,wt_013018,1,30,18,0.0,3.8812614e-05,8310239
wt_013018R2,MG1655_WT,wt_013018,2,30,18,0.0,3.8812614e-05,8310240
wt_013018R3,MG1655_WT,wt_013018,3,30,18,0.0,3.8812614e-05,8310241
wt_01305R0,MG1655_WT,wt_01305,0,30,5,0.0,3.8812614e-05,8310326
wt_01305R2,MG1655_WT,wt_01305,2,30,5,0.0,3.8812614e-05,8310328
wt_01305R3,MG1655_WT,wt_01305,3,30,5,0.0,3.8812614e-05,8310329
wt_013718R0,MG1655_WT,wt_013718,0,37,18,0.0,3.8266769e-05,8310062
wt_013718R1,MG1655_WT,wt_013718,1,37,18,0.0,3.8266769e-05,8310063
wt_013718R2,MG1655_WT,wt_013718,2,37,18,0.0,3.8266769e-05,8310064
wt_013718R3,MG1655_WT,wt_013718,3,37,18,0.0,3.8266769e-05,8310065
wt_01375R0,MG1655_WT,wt_01375,0,37,5,0.0,3.8266769e-05,8310150
wt_01375R1,MG1655_WT,wt_01375,1,37,5,0.0,3.8266769e-05,8310151
wt_01375R2,MG1655_WT,wt_01375,2,37,5,0.0,3.8266769e-05,8310152
wt_01375R3,MG1655_WT,wt_01375,3,37,5,0.0,3.8266769e-05,8310153
wt_103018R0,MG1655_WT,wt_103018,0,30,18,0.003836358,0.0,8310194
wt_103018R1,MG1655_WT,wt_103018,1,30,18,0.003836358,0.0,8310195
wt_103018R2,MG1655_WT,wt_103018,2,30,18,0.003836358,0.0,8310196
wt_103018R3,MG1655_WT,wt_103018,3,30,18,0.003836358,0.0,8310197
wt_10305R0,MG1655_WT,wt_10305,0,30,5,0.003836358,0.0,8310282
wt_10305R1,MG1655_WT,wt_10305,1,30,5,0.003836358,0.0,8310283
wt_10305R2,MG1655_WT,wt_10305,2,30,5,0.003836358,0.0,8310284
wt_10305R3,MG1655_WT,wt_10305,3,30,5,0.003836358,0.0,8310285
wt_103718R0,MG1655_WT,wt_103718,0,37,18,0.00378305,0.0,8310018
wt_103718R1,MG1655_WT,wt_103718,1,37,18,0.00378305,0.0,8310019
wt_103718R2,MG1655_WT,wt_103718,2,37,18,0.00378305,0.0,8310020
wt_103718R3,MG1655_WT,wt_103718,3,37,18,0.00378305,0.0,8310021
wt_10375R0,MG1655_WT,wt_10375,0,37,5,0.00378305,0.0,8310106
wt_10375R1,MG1655_WT,wt_10375,1,37,5,0.00378305,0.0,8310107
wt_10375R2,MG1655_WT,wt_10375,2,37,5,0.00378305,0.0,8310108
wt_10375R3,MG1655_WT,wt_10375,3,37,5,0.00378305,0.0,8310109
wt_113018R0,MG1655_WT,wt_113018,0,30,18,0.003831525,3.8315204e-05,8310218
wt_113018R1,MG1655_WT,wt_113018,1,30,18,0.003831525,3.8315204e-05,8310219
wt_113018R2,MG1655_WT,wt_113018,2,30,18,0.003831525,3.8315204e-05,8310220
wt_113018R3,MG1655_WT,wt_113018,3,30,18,0.003831525,3.8315204e-05,8310221
wt_11305R0,MG1655_WT,wt_11305,0,30,5,0.003831525,3.8315204e-05,8310306
wt_11305R1,MG1655_WT,wt_11305,1,30,5,0.003831525,3.8315204e-05,8310307
wt_11305R2,MG1655_WT,wt_11305,2,30,5,0.003831525,3.8315204e-05,8310308
wt_11305R3,MG1655_WT,wt_11305,3,30,5,0.003831525,3.8315204e-05,8310309
wt_113718R0,MG1655_WT,wt_113718,0,37,18,0.00377832,3.7783126e-05,8310042
wt_113718R2,MG1655_WT,wt_113718,2,37,18,0.00377832,3.7783126e-05,8310044
wt_113718R3,MG1655_WT,wt_113718,3,37,18,0.00377832,3.7783126e-05,8310045
wt_11375R0,MG1655_WT,wt_11375,0,37,5,0.00377832,3.7783126e-05,8310130
wt_11375R2,MG1655_WT,wt_11375,2,37,5,0.00377832,3.7783126e-05,8310132
wt_11375R3,MG1655_WT,wt_11375,3,37,5,0.00377832,3.7783126e-05,8310133
