"sample_id","timepoint","strain","temperature","replicate","arabinose_concentration","arabinose_unit","IPTG_concentration","IPTG_unit","strain_input_state"
"sample.ginkgo.11588608","5.0","MG1655_pBADmin","37.0","4","0","M","0.000373134","M","NA"
"sample.ginkgo.11588609","5.0","MG1655_pJS007_LALT__I1__IcaRA","37.0","3","0","M","0.000373134","M","NA"
"sample.ginkgo.11588611","5.0","MG1655_empty_landing_pads","37.0","4","0","M","0.000373134","M","NA"
"sample.ginkgo.11588610","5.0","MG1655_pJS007_LALT__I1__IcaRA","37.0","4","0","M","0.000373134","M","NA"
"sample.ginkgo.11588612","5.0","MG1655_PhlF_Gate","37.0","3","0.037313","M","0","M","NA"
"sample.ginkgo.11588619","5.0","MG1655_pJS007_LALT__backbone","37.0","3","0.037313","M","0","M","NA"
"sample.ginkgo.11588749","18.0","MG1655_pJS007_LALT__I1__IcaRA","37.0","3","0","M","0","M","NA"
"sample.ginkgo.11588613","5.0","MG1655_PhlF_Gate","37.0","4","0.037313","M","0","M","NA"
"sample.ginkgo.11588622","5.0","MG1655_NAND_Circuit","37.0","3","0.037313","M","0","M","01"
"sample.ginkgo.11588790","18.0","MG1655_pJS007_LALT__I1__IcaRA","37.0","4","0.037313","M","0","M","NA"
"sample.ginkgo.11588614","5.0","MG1655_pTACmin","37.0","3","0.037313","M","0","M","NA"
"sample.ginkgo.11588620","5.0","MG1655_pJS007_LALT__backbone","37.0","4","0.037313","M","0","M","NA"
"sample.ginkgo.11588621","5.0","MG1655_WT","37.0","4","0.037313","M","0","M","NA"
"sample.ginkgo.11588792","18.0","MG1655_PhlF_Gate","37.0","3","0.037313","M","0.000373134","M","NA"
"sample.ginkgo.11588627","5.0","MG1655_pBADmin","37.0","3","0.037313","M","0","M","NA"
"sample.ginkgo.11588632","5.0","MG1655_PhlF_Gate","37.0","3","0.037313","M","0.000373134","M","NA"
"sample.ginkgo.11588634","5.0","MG1655_pTACmin","37.0","3","0.037313","M","0.000373134","M","NA"
"sample.ginkgo.11588639","5.0","MG1655_pJS007_LALT__backbone","37.0","3","0.037313","M","0.000373134","M","NA"
"sample.ginkgo.11588759","18.0","MG1655_pJS007_LALT__backbone","37.0","3","0","M","0.000373134","M","NA"
"sample.ginkgo.11588760","18.0","MG1655_pJS007_LALT__backbone","37.0","4","0","M","0.000373134","M","NA"
"sample.ginkgo.11588750","18.0","MG1655_pJS007_LALT__I1__IcaRA","37.0","4","0","M","0","M","NA"
"sample.ginkgo.11588624","5.0","MG1655_pJS007_LALT__P3__PhlF","37.0","3","0.037313","M","0","M","NA"
"sample.ginkgo.11588625","5.0","MG1655_pJS007_LALT__P3__PhlF","37.0","4","0.037313","M","0","M","NA"
"sample.ginkgo.11588629","5.0","MG1655_pJS007_LALT__I1__IcaRA","37.0","3","0.037313","M","0","M","NA"
"sample.ginkgo.11588626","5.0","MG1655_empty_landing_pads","37.0","3","0.037313","M","0","M","NA"
"sample.ginkgo.11588630","5.0","MG1655_pJS007_LALT__I1__IcaRA","37.0","4","0.037313","M","0","M","NA"
"sample.ginkgo.11588631","5.0","MG1655_empty_landing_pads","37.0","4","0.037313","M","0","M","NA"
"sample.ginkgo.11588623","5.0","MG1655_NAND_Circuit","37.0","4","0.037313","M","0","M","01"
"sample.ginkgo.11588761","18.0","MG1655_WT","37.0","4","0","M","0.000373134","M","NA"
"sample.ginkgo.11588784","18.0","MG1655_pJS007_LALT__P3__PhlF","37.0","3","0.037313","M","0","M","NA"
"sample.ginkgo.11588642","5.0","MG1655_NAND_Circuit","37.0","3","0.037313","M","0.000373134","M","11"
"sample.ginkgo.11588628","5.0","MG1655_pBADmin","37.0","4","0.037313","M","0","M","NA"
"sample.ginkgo.11588633","5.0","MG1655_PhlF_Gate","37.0","4","0.037313","M","0.000373134","M","NA"
"sample.ginkgo.11588762","18.0","MG1655_NAND_Circuit","37.0","3","0","M","0.000373134","M","10"
"sample.ginkgo.11588640","5.0","MG1655_pJS007_LALT__backbone","37.0","4","0.037313","M","0.000373134","M","NA"
"sample.ginkgo.11588641","5.0","MG1655_WT","37.0","4","0.037313","M","0.000373134","M","NA"
"sample.ginkgo.11588763","18.0","MG1655_NAND_Circuit","37.0","4","0","M","0.000373134","M","10"
"sample.ginkgo.11588643","5.0","MG1655_NAND_Circuit","37.0","4","0.037313","M","0.000373134","M","11"
"sample.ginkgo.11588644","5.0","MG1655_pJS007_LALT__P3__PhlF","37.0","3","0.037313","M","0.000373134","M","NA"
"sample.ginkgo.11588764","18.0","MG1655_pJS007_LALT__P3__PhlF","37.0","3","0","M","0.000373134","M","NA"
"sample.ginkgo.11588791","18.0","MG1655_empty_landing_pads","37.0","4","0.037313","M","0","M","NA"
"sample.ginkgo.11588766","18.0","MG1655_empty_landing_pads","37.0","3","0","M","0.000373134","M","NA"
"sample.ginkgo.11588659","8.0","MG1655_pJS007_LALT__backbone","37.0","3","0","M","0","M","NA"
"sample.ginkgo.11588650","5.0","MG1655_pJS007_LALT__I1__IcaRA","37.0","4","0.037313","M","0.000373134","M","NA"
"sample.ginkgo.11588652","8.0","MG1655_PhlF_Gate","37.0","3","0","M","0","M","NA"
"sample.ginkgo.11588646","5.0","MG1655_empty_landing_pads","37.0","3","0.037313","M","0.000373134","M","NA"
"sample.ginkgo.11588647","5.0","MG1655_pBADmin","37.0","3","0.037313","M","0.000373134","M","NA"
"sample.ginkgo.11588648","5.0","MG1655_pBADmin","37.0","4","0.037313","M","0.000373134","M","NA"
"sample.ginkgo.11588653","8.0","MG1655_PhlF_Gate","37.0","4","0","M","0","M","NA"
"sample.ginkgo.11588645","5.0","MG1655_pJS007_LALT__P3__PhlF","37.0","4","0.037313","M","0.000373134","M","NA"
"sample.ginkgo.11588654","8.0","MG1655_pTACmin","37.0","3","0","M","0","M","NA"
"sample.ginkgo.11588649","5.0","MG1655_pJS007_LALT__I1__IcaRA","37.0","3","0.037313","M","0.000373134","M","NA"
"sample.ginkgo.11588651","5.0","MG1655_empty_landing_pads","37.0","4","0.037313","M","0.000373134","M","NA"
"sample.ginkgo.11588765","18.0","MG1655_pJS007_LALT__P3__PhlF","37.0","4","0","M","0.000373134","M","NA"
"sample.ginkgo.11588664","8.0","MG1655_pJS007_LALT__P3__PhlF","37.0","3","0","M","0","M","NA"
"sample.ginkgo.11588670","8.0","MG1655_pJS007_LALT__I1__IcaRA","37.0","4","0","M","0","M","NA"
"sample.ginkgo.11588769","18.0","MG1655_pJS007_LALT__I1__IcaRA","37.0","3","0","M","0.000373134","M","NA"
"sample.ginkgo.11588688","8.0","MG1655_pBADmin","37.0","4","0","M","0.000373134","M","NA"
"sample.ginkgo.11588717","8.0","MG1655_IcaR_Gate","37.0","3","0.037313","M","0.000373134","M","NA"
"sample.ginkgo.11588568","18.0","MG1655_pBADmin","37.0","2","0.037313","M","0.000373134","M","NA"
"sample.ginkgo.11588703","8.0","MG1655_NAND_Circuit","37.0","4","0.037313","M","0","M","01"
"sample.ginkgo.11588663","8.0","MG1655_NAND_Circuit","37.0","4","0","M","0","M","00"
"sample.ginkgo.11588702","8.0","MG1655_NAND_Circuit","37.0","3","0.037313","M","0","M","01"
"sample.ginkgo.11588713","8.0","MG1655_PhlF_Gate","37.0","4","0.037313","M","0.000373134","M","NA"
"sample.ginkgo.11588721","8.0","MG1655_WT","37.0","4","0.037313","M","0.000373134","M","NA"
"sample.ginkgo.11588660","8.0","MG1655_pJS007_LALT__backbone","37.0","4","0","M","0","M","NA"
"sample.ginkgo.11588666","8.0","MG1655_empty_landing_pads","37.0","3","0","M","0","M","NA"
"sample.ginkgo.11588668","8.0","MG1655_pBADmin","37.0","4","0","M","0","M","NA"
"sample.ginkgo.11588683","8.0","MG1655_NAND_Circuit","37.0","4","0","M","0.000373134","M","10"
"sample.ginkgo.11588691","8.0","MG1655_empty_landing_pads","37.0","4","0","M","0.000373134","M","NA"
"sample.ginkgo.11588570","18.0","MG1655_pJS007_LALT__I1__IcaRA","37.0","2","0.037313","M","0.000373134","M","NA"
"sample.ginkgo.11588768","18.0","MG1655_pBADmin","37.0","4","0","M","0.000373134","M","NA"
"sample.ginkgo.11588771","18.0","MG1655_empty_landing_pads","37.0","4","0","M","0.000373134","M","NA"
"sample.ginkgo.11588693","8.0","MG1655_PhlF_Gate","37.0","4","0.037313","M","0","M","NA"
"sample.ginkgo.11588708","8.0","MG1655_pBADmin","37.0","4","0.037313","M","0","M","NA"
"sample.ginkgo.11588674","8.0","MG1655_pTACmin","37.0","3","0","M","0.000373134","M","NA"
"sample.ginkgo.11588679","8.0","MG1655_pJS007_LALT__backbone","37.0","3","0","M","0.000373134","M","NA"
"sample.ginkgo.11588705","8.0","MG1655_pJS007_LALT__P3__PhlF","37.0","4","0.037313","M","0","M","NA"
"sample.ginkgo.11588707","8.0","MG1655_pBADmin","37.0","3","0.037313","M","0","M","NA"
"sample.ginkgo.11588715","8.0","MG1655_pTACmin","37.0","4","0.037313","M","0.000373134","M","NA"
"sample.ginkgo.11588773","18.0","MG1655_PhlF_Gate","37.0","4","0.037313","M","0","M","NA"
"sample.ginkgo.11588662","8.0","MG1655_NAND_Circuit","37.0","3","0","M","0","M","00"
"sample.ginkgo.11588680","8.0","MG1655_pJS007_LALT__backbone","37.0","4","0","M","0.000373134","M","NA"
"sample.ginkgo.11588681","8.0","MG1655_WT","37.0","4","0","M","0.000373134","M","NA"
"sample.ginkgo.11588684","8.0","MG1655_pJS007_LALT__P3__PhlF","37.0","3","0","M","0.000373134","M","NA"
"sample.ginkgo.11588772","18.0","MG1655_PhlF_Gate","37.0","3","0.037313","M","0","M","NA"
"sample.ginkgo.11588706","8.0","MG1655_empty_landing_pads","37.0","3","0.037313","M","0","M","NA"
"sample.ginkgo.11588711","8.0","MG1655_empty_landing_pads","37.0","4","0.037313","M","0","M","NA"
"sample.ginkgo.11588712","8.0","MG1655_PhlF_Gate","37.0","3","0.037313","M","0.000373134","M","NA"
"sample.ginkgo.11588719","8.0","MG1655_pJS007_LALT__backbone","37.0","3","0.037313","M","0.000373134","M","NA"
"sample.ginkgo.11588692","8.0","MG1655_PhlF_Gate","37.0","3","0.037313","M","0","M","NA"
"sample.ginkgo.11588699","8.0","MG1655_pJS007_LALT__backbone","37.0","3","0.037313","M","0","M","NA"
"sample.ginkgo.11588701","8.0","MG1655_WT","37.0","4","0.037313","M","0","M","NA"
"sample.ginkgo.11588714","8.0","MG1655_pTACmin","37.0","3","0.037313","M","0.000373134","M","NA"
"sample.ginkgo.11588665","8.0","MG1655_pJS007_LALT__P3__PhlF","37.0","4","0","M","0","M","NA"
"sample.ginkgo.11588682","8.0","MG1655_NAND_Circuit","37.0","3","0","M","0.000373134","M","10"
"sample.ginkgo.11588694","8.0","MG1655_pTACmin","37.0","3","0.037313","M","0","M","NA"
"sample.ginkgo.11588700","8.0","MG1655_pJS007_LALT__backbone","37.0","4","0.037313","M","0","M","NA"
"sample.ginkgo.11588710","8.0","MG1655_pJS007_LALT__I1__IcaRA","37.0","4","0.037313","M","0","M","NA"
"sample.ginkgo.11588718","8.0","MG1655_IcaR_Gate","37.0","4","0.037313","M","0.000373134","M","NA"
"sample.ginkgo.11588669","8.0","MG1655_pJS007_LALT__I1__IcaRA","37.0","3","0","M","0","M","NA"
"sample.ginkgo.11588704","8.0","MG1655_pJS007_LALT__P3__PhlF","37.0","3","0.037313","M","0","M","NA"
"sample.ginkgo.11588661","8.0","MG1655_WT","37.0","4","0","M","0","M","NA"
"sample.ginkgo.11588767","18.0","MG1655_pBADmin","37.0","3","0","M","0.000373134","M","NA"
"sample.ginkgo.11588770","18.0","MG1655_pJS007_LALT__I1__IcaRA","37.0","4","0","M","0.000373134","M","NA"
"sample.ginkgo.11588566","18.0","MG1655_empty_landing_pads","37.0","1","0.037313","M","0.000373134","M","NA"
"sample.ginkgo.11588686","8.0","MG1655_empty_landing_pads","37.0","3","0","M","0.000373134","M","NA"
"sample.ginkgo.11588687","8.0","MG1655_pBADmin","37.0","3","0","M","0.000373134","M","NA"
"sample.ginkgo.11588716","8.0","MG1655_WT","37.0","3","0.037313","M","0.000373134","M","NA"
"sample.ginkgo.11588722","8.0","MG1655_NAND_Circuit","37.0","3","0.037313","M","0.000373134","M","11"
"sample.ginkgo.11588667","8.0","MG1655_pBADmin","37.0","3","0","M","0","M","NA"
"sample.ginkgo.11588672","8.0","MG1655_PhlF_Gate","37.0","3","0","M","0.000373134","M","NA"
"sample.ginkgo.11588685","8.0","MG1655_pJS007_LALT__P3__PhlF","37.0","4","0","M","0.000373134","M","NA"
"sample.ginkgo.11588569","18.0","MG1655_pJS007_LALT__I1__IcaRA","37.0","1","0.037313","M","0.000373134","M","NA"
"sample.ginkgo.11588774","18.0","MG1655_pTACmin","37.0","3","0.037313","M","0","M","NA"
"sample.ginkgo.11588709","8.0","MG1655_pJS007_LALT__I1__IcaRA","37.0","3","0.037313","M","0","M","NA"
"sample.ginkgo.11588785","18.0","MG1655_pJS007_LALT__P3__PhlF","37.0","4","0.037313","M","0","M","NA"
"sample.ginkgo.11588671","8.0","MG1655_empty_landing_pads","37.0","4","0","M","0","M","NA"
"sample.ginkgo.11588673","8.0","MG1655_PhlF_Gate","37.0","4","0","M","0.000373134","M","NA"
"sample.ginkgo.11588567","18.0","MG1655_pBADmin","37.0","1","0.037313","M","0.000373134","M","NA"
"sample.ginkgo.11588689","8.0","MG1655_pJS007_LALT__I1__IcaRA","37.0","3","0","M","0.000373134","M","NA"
"sample.ginkgo.11588690","8.0","MG1655_pJS007_LALT__I1__IcaRA","37.0","4","0","M","0.000373134","M","NA"
"sample.ginkgo.11588720","8.0","MG1655_pJS007_LALT__backbone","37.0","4","0.037313","M","0.000373134","M","NA"
"sample.ginkgo.11588723","8.0","MG1655_NAND_Circuit","37.0","4","0.037313","M","0.000373134","M","11"
"sample.ginkgo.11588724","8.0","MG1655_pJS007_LALT__P3__PhlF","37.0","3","0.037313","M","0.000373134","M","NA"
"sample.ginkgo.11588351","5.0","MG1655_empty_landing_pads","37.0","2","0","M","0","M","NA"
"sample.ginkgo.11588370","5.0","MG1655_pJS007_LALT__I1__IcaRA","37.0","2","0","M","0.000373134","M","NA"
"sample.ginkgo.11588371","5.0","MG1655_empty_landing_pads","37.0","2","0","M","0.000373134","M","NA"
"sample.ginkgo.11588380","5.0","MG1655_pJS007_LALT__backbone","37.0","2","0.037313","M","0","M","NA"
"sample.ginkgo.11588384","5.0","MG1655_pJS007_LALT__P3__PhlF","37.0","1","0.037313","M","0","M","NA"
"sample.ginkgo.11588393","5.0","MG1655_PhlF_Gate","37.0","2","0.037313","M","0.000373134","M","NA"
"sample.ginkgo.11588355","5.0","MG1655_pTACmin","37.0","2","0","M","0.000373134","M","NA"
"sample.ginkgo.11588383","5.0","MG1655_NAND_Circuit","37.0","2","0.037313","M","0","M","01"
"sample.ginkgo.11588779","18.0","MG1655_pJS007_LALT__backbone","37.0","3","0.037313","M","0","M","NA"
"sample.ginkgo.11588336","5.0","MG1655_WT","37.0","1","0","M","0","M","NA"
"sample.ginkgo.11588339","5.0","MG1655_pJS007_LALT__backbone","37.0","1","0","M","0","M","NA"
"sample.ginkgo.11588360","5.0","MG1655_pJS007_LALT__backbone","37.0","2","0","M","0.000373134","M","NA"
"sample.ginkgo.11588337","5.0","MG1655_IcaR_Gate","37.0","1","0","M","0","M","NA"
"sample.ginkgo.11588346","5.0","MG1655_empty_landing_pads","37.0","1","0","M","0","M","NA"
"sample.ginkgo.11588350","5.0","MG1655_pJS007_LALT__I1__IcaRA","37.0","2","0","M","0","M","NA"
"sample.ginkgo.11588368","5.0","MG1655_pBADmin","37.0","2","0","M","0.000373134","M","NA"
"sample.ginkgo.11588729","8.0","MG1655_pJS007_LALT__I1__IcaRA","37.0","3","0.037313","M","0.000373134","M","NA"
"sample.ginkgo.11588353","5.0","MG1655_PhlF_Gate","37.0","2","0","M","0.000373134","M","NA"
"sample.ginkgo.11588357","5.0","MG1655_IcaR_Gate","37.0","1","0","M","0.000373134","M","NA"
"sample.ginkgo.11588362","5.0","MG1655_NAND_Circuit","37.0","1","0","M","0.000373134","M","10"
"sample.ginkgo.11588378","5.0","MG1655_IcaR_Gate","37.0","2","0.037313","M","0","M","NA"
"sample.ginkgo.11588385","5.0","MG1655_pJS007_LALT__P3__PhlF","37.0","2","0.037313","M","0","M","NA"
"sample.ginkgo.11588388","5.0","MG1655_pBADmin","37.0","2","0.037313","M","0","M","NA"
"sample.ginkgo.11588391","5.0","MG1655_empty_landing_pads","37.0","2","0.037313","M","0","M","NA"
"sample.ginkgo.11588725","8.0","MG1655_pJS007_LALT__P3__PhlF","37.0","4","0.037313","M","0.000373134","M","NA"
"sample.ginkgo.11588780","18.0","MG1655_pJS007_LALT__backbone","37.0","4","0.037313","M","0","M","NA"
"sample.ginkgo.11588344","5.0","MG1655_pJS007_LALT__P3__PhlF","37.0","1","0","M","0","M","NA"
"sample.ginkgo.11588381","5.0","MG1655_WT","37.0","2","0.037313","M","0","M","NA"
"sample.ginkgo.11588389","5.0","MG1655_pJS007_LALT__I1__IcaRA","37.0","1","0.037313","M","0","M","NA"
"sample.ginkgo.11588333","5.0","MG1655_PhlF_Gate","37.0","2","0","M","0","M","NA"
"sample.ginkgo.11588335","5.0","MG1655_pTACmin","37.0","2","0","M","0","M","NA"
"sample.ginkgo.11588343","5.0","MG1655_NAND_Circuit","37.0","2","0","M","0","M","00"
"sample.ginkgo.11588347","5.0","MG1655_pBADmin","37.0","1","0","M","0","M","NA"
"sample.ginkgo.11588367","5.0","MG1655_pBADmin","37.0","1","0","M","0.000373134","M","NA"
"sample.ginkgo.11588394","5.0","MG1655_pTACmin","37.0","1","0.037313","M","0.000373134","M","NA"
"sample.ginkgo.11588372","5.0","MG1655_PhlF_Gate","37.0","1","0.037313","M","0","M","NA"
"sample.ginkgo.11588377","5.0","MG1655_IcaR_Gate","37.0","1","0.037313","M","0","M","NA"
"sample.ginkgo.11588726","8.0","MG1655_empty_landing_pads","37.0","3","0.037313","M","0.000373134","M","NA"
"sample.ginkgo.11588365","5.0","MG1655_pJS007_LALT__P3__PhlF","37.0","2","0","M","0.000373134","M","NA"
"sample.ginkgo.11588781","18.0","MG1655_WT","37.0","4","0.037313","M","0","M","NA"
"sample.ginkgo.11588342","5.0","MG1655_NAND_Circuit","37.0","1","0","M","0","M","00"
"sample.ginkgo.11588356","5.0","MG1655_WT","37.0","1","0","M","0.000373134","M","NA"
"sample.ginkgo.11588382","5.0","MG1655_NAND_Circuit","37.0","1","0.037313","M","0","M","01"
"sample.ginkgo.11588387","5.0","MG1655_pBADmin","37.0","1","0.037313","M","0","M","NA"
"sample.ginkgo.11588727","8.0","MG1655_pBADmin","37.0","3","0.037313","M","0.000373134","M","NA"
"sample.ginkgo.11588782","18.0","MG1655_NAND_Circuit","37.0","3","0.037313","M","0","M","01"
"sample.ginkgo.11588332","5.0","MG1655_PhlF_Gate","37.0","1","0","M","0","M","NA"
"sample.ginkgo.11588341","5.0","MG1655_WT","37.0","2","0","M","0","M","NA"
"sample.ginkgo.11588361","5.0","MG1655_WT","37.0","2","0","M","0.000373134","M","NA"
"sample.ginkgo.11588363","5.0","MG1655_NAND_Circuit","37.0","2","0","M","0.000373134","M","10"
"sample.ginkgo.11588369","5.0","MG1655_pJS007_LALT__I1__IcaRA","37.0","1","0","M","0.000373134","M","NA"
"sample.ginkgo.11588373","5.0","MG1655_PhlF_Gate","37.0","2","0.037313","M","0","M","NA"
"sample.ginkgo.11588379","5.0","MG1655_pJS007_LALT__backbone","37.0","1","0.037313","M","0","M","NA"
"sample.ginkgo.11588386","5.0","MG1655_empty_landing_pads","37.0","1","0.037313","M","0","M","NA"
"sample.ginkgo.11588338","5.0","MG1655_IcaR_Gate","37.0","2","0","M","0","M","NA"
"sample.ginkgo.11588345","5.0","MG1655_pJS007_LALT__P3__PhlF","37.0","2","0","M","0","M","NA"
"sample.ginkgo.11588354","5.0","MG1655_pTACmin","37.0","1","0","M","0.000373134","M","NA"
"sample.ginkgo.11588359","5.0","MG1655_pJS007_LALT__backbone","37.0","1","0","M","0.000373134","M","NA"
"sample.ginkgo.11588374","5.0","MG1655_pTACmin","37.0","1","0.037313","M","0","M","NA"
"sample.ginkgo.11588375","5.0","MG1655_pTACmin","37.0","2","0.037313","M","0","M","NA"
"sample.ginkgo.11588390","5.0","MG1655_pJS007_LALT__I1__IcaRA","37.0","2","0.037313","M","0","M","NA"
"sample.ginkgo.11588348","5.0","MG1655_pBADmin","37.0","2","0","M","0","M","NA"
"sample.ginkgo.11588352","5.0","MG1655_PhlF_Gate","37.0","1","0","M","0.000373134","M","NA"
"sample.ginkgo.11588358","5.0","MG1655_IcaR_Gate","37.0","2","0","M","0.000373134","M","NA"
"sample.ginkgo.11588392","5.0","MG1655_PhlF_Gate","37.0","1","0.037313","M","0.000373134","M","NA"
"sample.ginkgo.11588340","5.0","MG1655_pJS007_LALT__backbone","37.0","2","0","M","0","M","NA"
"sample.ginkgo.11588364","5.0","MG1655_pJS007_LALT__P3__PhlF","37.0","1","0","M","0.000373134","M","NA"
"sample.ginkgo.11588728","8.0","MG1655_pBADmin","37.0","4","0.037313","M","0.000373134","M","NA"
"sample.ginkgo.11588730","8.0","MG1655_pJS007_LALT__I1__IcaRA","37.0","4","0.037313","M","0.000373134","M","NA"
"sample.ginkgo.11588376","5.0","MG1655_WT","37.0","1","0.037313","M","0","M","NA"
"sample.ginkgo.11588334","5.0","MG1655_pTACmin","37.0","1","0","M","0","M","NA"
"sample.ginkgo.11588349","5.0","MG1655_pJS007_LALT__I1__IcaRA","37.0","1","0","M","0","M","NA"
"sample.ginkgo.11588366","5.0","MG1655_empty_landing_pads","37.0","1","0","M","0.000373134","M","NA"
"sample.ginkgo.11588395","5.0","MG1655_pTACmin","37.0","2","0.037313","M","0.000373134","M","NA"
"sample.ginkgo.11588407","5.0","MG1655_pBADmin","37.0","1","0.037313","M","0.000373134","M","NA"
"sample.ginkgo.11588400","5.0","MG1655_pJS007_LALT__backbone","37.0","2","0.037313","M","0.000373134","M","NA"
"sample.ginkgo.11588408","5.0","MG1655_pBADmin","37.0","2","0.037313","M","0.000373134","M","NA"
"sample.ginkgo.11588410","5.0","MG1655_pJS007_LALT__I1__IcaRA","37.0","2","0.037313","M","0.000373134","M","NA"
"sample.ginkgo.11588401","5.0","MG1655_WT","37.0","2","0.037313","M","0.000373134","M","NA"
"sample.ginkgo.11588396","5.0","MG1655_WT","37.0","1","0.037313","M","0.000373134","M","NA"
"sample.ginkgo.11588397","5.0","MG1655_IcaR_Gate","37.0","1","0.037313","M","0.000373134","M","NA"
"sample.ginkgo.11588398","5.0","MG1655_IcaR_Gate","37.0","2","0.037313","M","0.000373134","M","NA"
"sample.ginkgo.11588402","5.0","MG1655_NAND_Circuit","37.0","1","0.037313","M","0.000373134","M","11"
"sample.ginkgo.11588399","5.0","MG1655_pJS007_LALT__backbone","37.0","1","0.037313","M","0.000373134","M","NA"
"sample.ginkgo.11588403","5.0","MG1655_NAND_Circuit","37.0","2","0.037313","M","0.000373134","M","11"
"sample.ginkgo.11588406","5.0","MG1655_empty_landing_pads","37.0","1","0.037313","M","0.000373134","M","NA"
"sample.ginkgo.11588411","5.0","MG1655_empty_landing_pads","37.0","2","0.037313","M","0.000373134","M","NA"
"sample.ginkgo.11588405","5.0","MG1655_pJS007_LALT__P3__PhlF","37.0","2","0.037313","M","0.000373134","M","NA"
"sample.ginkgo.11588409","5.0","MG1655_pJS007_LALT__I1__IcaRA","37.0","1","0.037313","M","0.000373134","M","NA"
"sample.ginkgo.11588404","5.0","MG1655_pJS007_LALT__P3__PhlF","37.0","1","0.037313","M","0.000373134","M","NA"
"sample.ginkgo.11588412","8.0","MG1655_PhlF_Gate","37.0","1","0","M","0","M","NA"
"sample.ginkgo.11588417","8.0","MG1655_IcaR_Gate","37.0","1","0","M","0","M","NA"
"sample.ginkgo.11588422","8.0","MG1655_NAND_Circuit","37.0","1","0","M","0","M","00"
"sample.ginkgo.11588453","8.0","MG1655_PhlF_Gate","37.0","2","0.037313","M","0","M","NA"
"sample.ginkgo.11588458","8.0","MG1655_IcaR_Gate","37.0","2","0.037313","M","0","M","NA"
"sample.ginkgo.11588426","8.0","MG1655_empty_landing_pads","37.0","1","0","M","0","M","NA"
"sample.ginkgo.11588457","8.0","MG1655_IcaR_Gate","37.0","1","0.037313","M","0","M","NA"
"sample.ginkgo.11588424","8.0","MG1655_pJS007_LALT__P3__PhlF","37.0","1","0","M","0","M","NA"
"sample.ginkgo.11588435","8.0","MG1655_pTACmin","37.0","2","0","M","0.000373134","M","NA"
"sample.ginkgo.11588455","8.0","MG1655_pTACmin","37.0","2","0.037313","M","0","M","NA"
"sample.ginkgo.11588418","8.0","MG1655_IcaR_Gate","37.0","2","0","M","0","M","NA"
"sample.ginkgo.11588437","8.0","MG1655_IcaR_Gate","37.0","1","0","M","0.000373134","M","NA"
"sample.ginkgo.11588447","8.0","MG1655_pBADmin","37.0","1","0","M","0.000373134","M","NA"
"sample.ginkgo.11588460","8.0","MG1655_pJS007_LALT__backbone","37.0","2","0.037313","M","0","M","NA"
"sample.ginkgo.11588423","8.0","MG1655_NAND_Circuit","37.0","2","0","M","0","M","00"
"sample.ginkgo.11588425","8.0","MG1655_pJS007_LALT__P3__PhlF","37.0","2","0","M","0","M","NA"
"sample.ginkgo.11588438","8.0","MG1655_IcaR_Gate","37.0","2","0","M","0.000373134","M","NA"
"sample.ginkgo.11588442","8.0","MG1655_NAND_Circuit","37.0","1","0","M","0.000373134","M","10"
"sample.ginkgo.11588450","8.0","MG1655_pJS007_LALT__I1__IcaRA","37.0","2","0","M","0.000373134","M","NA"
"sample.ginkgo.11588427","8.0","MG1655_pBADmin","37.0","1","0","M","0","M","NA"
"sample.ginkgo.11588421","8.0","MG1655_WT","37.0","2","0","M","0","M","NA"
"sample.ginkgo.11588433","8.0","MG1655_PhlF_Gate","37.0","2","0","M","0.000373134","M","NA"
"sample.ginkgo.11588454","8.0","MG1655_pTACmin","37.0","1","0.037313","M","0","M","NA"
"sample.ginkgo.11588416","8.0","MG1655_WT","37.0","1","0","M","0","M","NA"
"sample.ginkgo.11588430","8.0","MG1655_pJS007_LALT__I1__IcaRA","37.0","2","0","M","0","M","NA"
"sample.ginkgo.11588440","8.0","MG1655_pJS007_LALT__backbone","37.0","2","0","M","0.000373134","M","NA"
"sample.ginkgo.11588414","8.0","MG1655_pTACmin","37.0","1","0","M","0","M","NA"
"sample.ginkgo.11588415","8.0","MG1655_pTACmin","37.0","2","0","M","0","M","NA"
"sample.ginkgo.11588420","8.0","MG1655_pJS007_LALT__backbone","37.0","2","0","M","0","M","NA"
"sample.ginkgo.11588429","8.0","MG1655_pJS007_LALT__I1__IcaRA","37.0","1","0","M","0","M","NA"
"sample.ginkgo.11588448","8.0","MG1655_pBADmin","37.0","2","0","M","0.000373134","M","NA"
"sample.ginkgo.11588451","8.0","MG1655_empty_landing_pads","37.0","2","0","M","0.000373134","M","NA"
"sample.ginkgo.11588445","8.0","MG1655_pJS007_LALT__P3__PhlF","37.0","2","0","M","0.000373134","M","NA"
"sample.ginkgo.11588434","8.0","MG1655_pTACmin","37.0","1","0","M","0.000373134","M","NA"
"sample.ginkgo.11588439","8.0","MG1655_pJS007_LALT__backbone","37.0","1","0","M","0.000373134","M","NA"
"sample.ginkgo.11588441","8.0","MG1655_WT","37.0","2","0","M","0.000373134","M","NA"
"sample.ginkgo.11588449","8.0","MG1655_pJS007_LALT__I1__IcaRA","37.0","1","0","M","0.000373134","M","NA"
"sample.ginkgo.11588456","8.0","MG1655_WT","37.0","1","0.037313","M","0","M","NA"
"sample.ginkgo.11588443","8.0","MG1655_NAND_Circuit","37.0","2","0","M","0.000373134","M","10"
